Exp,Cocatalyst 1,Semiconductor 1,Semiconductor 2,Semiconductor 3,Semiconductor 1 %,Semiconductor 2 %,Co-Catalyst wt,Form,Structure,Light,Light Source,Power (W),Filter (nm),Photocatalyst load (g/L),Preparation of Semiconductor,Semiconductor Calcination Temp©,Semiconductor Calcination Time (h),Preparation of Photocatalyst,Photocatalyst Calcination Temp ©,Photocatalyst Calcination Time (h),Glycerol Concentration (v%),Solution Volume (ml),pH,Reaction Temp (C),Bandgap (eV),H2vproduction rate(micromol/g.h),Reference
49,Ag,TiO2,g-C3N4,,50,,3,nanocomposite,anatase,Visible,Xe,35,,1.15,hydrothermal,,0,sol-gel,400,3,5,130,8,25,,5026.30,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
50,Ag,TiO2,g-C3N4,,50,,3,nanocomposite,anatase,Visible,Xe,35,,1.15,hydrothermal,,0,sol-gel,400,3,5,130,11,25,,2513.10,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
51,Ag,La0.2Na0.98TaO3,,,100,,,nanoparticle,,UV,Xe,500,320,0.25,sol-gel,450,4,Photodeposition,,0,10,200,,,4.23,8.53,"Gullapelli, S. M. S. Scurrell and D. K. Valluri, “Photocatalytic H2 Production from Glycerol–Water Mixtures over Ni/γ-Al2O3 and TiO2 Composite Systems”, International Journal of Hydrogen Energy, Vol. 42, No. 22, pp. 15031-15043, 2017."
52,Ag,La0.2Na0.98TaO3,,,100,,0.5,nanoparticle,,UV,Xe,500,320,0.25,sol-gel,450,4,Photodeposition,,0,10,200,,,3.78,38.67,"Gullapelli, S. M. S. Scurrell and D. K. Valluri, “Photocatalytic H2 Production from Glycerol–Water Mixtures over Ni/γ-Al2O3 and TiO2 Composite Systems”, International Journal of Hydrogen Energy, Vol. 42, No. 22, pp. 15031-15043, 2017."
53,Ag,La0.2Na0.98TaO3,,,100,,1,nanoparticle,,UV,Xe,500,320,0.25,sol-gel,450,4,Photodeposition,,0,10,200,,,3.57,189.27,"Gullapelli, S. M. S. Scurrell and D. K. Valluri, “Photocatalytic H2 Production from Glycerol–Water Mixtures over Ni/γ-Al2O3 and TiO2 Composite Systems”, International Journal of Hydrogen Energy, Vol. 42, No. 22, pp. 15031-15043, 2017."
54,Ag,La0.2Na0.98TaO3,,,100,,1.5,nanoparticle,,UV,Xe,500,320,0.25,sol-gel,450,4,Photodeposition,,0,10,200,,,3.54,329.53,"Gullapelli, S. M. S. Scurrell and D. K. Valluri, “Photocatalytic H2 Production from Glycerol–Water Mixtures over Ni/γ-Al2O3 and TiO2 Composite Systems”, International Journal of Hydrogen Energy, Vol. 42, No. 22, pp. 15031-15043, 2017."
55,Ag,La0.2Na0.98TaO3,,,100,,2,nanoparticle,,UV,Xe,500,320,0.25,sol-gel,450,4,Photodeposition,,0,10,200,,,3.54,332.43,"Gullapelli, S. M. S. Scurrell and D. K. Valluri, “Photocatalytic H2 Production from Glycerol–Water Mixtures over Ni/γ-Al2O3 and TiO2 Composite Systems”, International Journal of Hydrogen Energy, Vol. 42, No. 22, pp. 15031-15043, 2017."
56,Ag,TiO2,,,100,,1,nanoflake,anatase,Visible,Xe,300,,1,Hydrothermal,,0,Impregnation,500,0.5,10,50,,,3.06,910.00,"Zhong W, Wang C, Peng S, Shu R, Tian Z, Du Y, et al. Investigation on the effect of temperature on photothermal glycerol reforming hydrogen production over Ag/TiO2 nanoflake catalyst. International Journal of Hydrogen Energy 2022;47. https://doi.org/10.1016/j.ijhydene.2022.03.122"
57,Ag,TiO2,,,100,,3,nanoflake,anatase,Visible,Xe,300,,1,Hydrothermal,,0,Impregnation,500,0.5,10,50,,,3.03,400.00,"Zhong W, Wang C, Peng S, Shu R, Tian Z, Du Y, et al. Investigation on the effect of temperature on photothermal glycerol reforming hydrogen production over Ag/TiO2 nanoflake catalyst. International Journal of Hydrogen Energy 2022;47. https://doi.org/10.1016/j.ijhydene.2022.03.122"
58,Ag,TiO2,,,100,,5,nanoflake,anatase,Visible,Xe,300,,1,Hydrothermal,,0,Impregnation,500,0.5,10,50,,,3.02,375.00,"Zhong W, Wang C, Peng S, Shu R, Tian Z, Du Y, et al. Investigation on the effect of temperature on photothermal glycerol reforming hydrogen production over Ag/TiO2 nanoflake catalyst. International Journal of Hydrogen Energy 2022;47. https://doi.org/10.1016/j.ijhydene.2022.03.122"
